id,yq,arb1,lewspread_avg,lewtspread_avg,lBP_Ratio,ni_at,lcash_at,capx_at,llev_dif,llnsize,latgr_p4
001078,20131,0,.72026628,1.21,.54090065,.81008619,22.568598,.40821779,3.7280858,11.115949,10.924428
001078,20132,0,.99034619,1.9,.40716812,1.1158979,19.953125,.6803515,-10.328451,10.66164,-37.993313
001078,20133,0,.99070156,2.25,.4107917,2.2515726,21.894777,.64437163,-6.6284342,10.666705,-36.592056
001078,20134,0,.99825925,2.6750002,.45939493,1.3346181,19.49921,.68806243,-7.6210723,10.694951,-36.002151
001078,20141,0,.795416,2.665,.43258017,.87304729,18.853165,.59367216,-10.135844,10.667862,-44.808662
001078,20142,0,.72178441,2.5799997,.39361453,1.116125,16.914694,.61926937,-7.7608185,10.637344,-2.4295914
001078,20143,0,.71715903,2.4425001,.38421401,1.2947558,17.027124,.66787225,-9.2723446,10.632846,-3.3858981
001078,20144,0,.7366311,2.4325001,.36598057,2.133415,11.471515,.67507172,-6.7637963,10.657589,-3.7362521
001078,20151,1,.97316539,2.135,.31753612,5.5529981,10.805573,.56935191,-7.0477886,10.628013,-3.9849505
001078,20152,0,.82755965,1.85,.31288373,1.8192365,22.85416,.50121826,-5.258399,10.671163,3.3817537
001078,20153,0,.94972664,2.0914285,.31488392,1.3144476,25.330311,.93144476,-6.6100001,10.694782,6.1935678
001078,20154,0,1.1361529,1.89,.35216966,1.8382264,14.713001,.59436786,-6.5239639,10.638856,-1.8732963
001078,20161,0,1.0044919,1.7042856,.31661448,.76611632,14.849565,.58913374,-4.9959478,10.627334,-.0678607
001078,20162,0,1.0823354,1.3485715,.33625573,1.5515807,9.9830961,.62315518,-5.8805556,10.587519,-8.3643961
001078,20163,0,1.0447435,1.0466667,.35799399,-.82598978,11.142075,.78330952,-6.7430301,10.592401,-10.238101
001078,20164,0,1.0838315,1.0771428,.33420148,2.0204065,11.410994,.80765623,-6.4946947,10.58398,-5.4875751
001078,20171,0,1.368886,1.5892308,.36317384,.79557967,35.649185,.51646221,11.745748,10.871725,24.439171
001078,20172,0,1.21244,1.4094445,.40867656,.39922693,12.498765,.35972744,7.5176983,11.168842,58.132404
001078,20173,0,1.0940475,.95166665,.37464625,.84749341,13.822715,.36963642,7.9871268,11.17256,58.015888
001078,20174,0,.98294783,.92166662,.34550765,-1.1460525,15.500775,.47752187,7.9785051,11.18786,60.387993
001078,20181,0,.92354816,.92117649,.31103498,.54819673,12.603278,.36065573,11.318618,11.241773,37.004734
001078,20182,0,.94387305,.95294118,.30006596,1.0337338,5.7003441,.4202629,4.6885877,11.169139,.029620226
001078,20183,0,.99771506,.864375,.28596163,.82291895,4.7708836,.51743037,3.8091481,11.133348,-3.9212279
001078,20184,0,.78332239,.75937498,.23858395,.91293603,10.539247,.65189779,6.1257181,11.179367,-.84929448
001078,20191,0,1.1889503,.45750001,.24027915,1.000402,6.0828013,.4987123,1.3256371,11.115026,-12.674603
001078,20192,0,.99617457,.20727271,.22024438,1.4879456,4.8232512,.69220531,.65354109,11.121511,-4.7627358
001078,20193,0,.95114923,-.083636403,.21356411,1.4029549,4.9337249,.58602595,.17118454,11.133523,.017538475
001078,20194,0,.89535964,-.1063636,.21515682,1.5305156,6.3248663,.63321614,.013890862,11.135159,-4.4208775
001078,20201,0,.60096753,.35818183,.20238517,.83079237,6.0983696,.53029299,-1.2140363,11.1256,1.0573176
001078,20202,0,1.509234,.64099997,.21715742,.80416912,5.4929094,.96140885,-1.5997767,11.109114,-1.2397192
001078,20203,0,.79137337,.62583333,.18907346,1.7913226,7.3237753,.72118181,-3.1050115,11.13861,.50873631
001078,20204,0,.69817656,.57999998,.1628861,3.1313818,6.8522511,.98344505,-6.2674613,11.142485,.73265725
001078,20211,0,.46998119,.76666665,.16894099,2.471467,9.852787,.54722393,-6.4505486,11.192003,6.6403852
001078,20212,0,.5494504,1.3383332,.15808758,1.6335783,11.50237,.5674246,-6.9798288,11.195265,8.615118
001078,20213,0,.41461182,1.3781818,.16408823,2.8661509,12.207072,.62918836,-6.8433342,11.201893,6.3282752
001078,20214,1,.47690299,1.2190909,.16436601,2.6953046,13.13368,.83203465,-6.8754091,11.209046,6.6561484
001078,20221,0,.53529954,1.3572727,.14385898,3.2541625,13.629714,.42688441,-4.5558424,11.227854,3.5849626
001078,20222,0,.77529681,1.7827272,.16959576,2.726769,11.023281,.51211369,-8.525506,11.211915,1.6649793
001078,20223,0,.81741971,1.7127273,.19181049,1.9339101,12.519878,.62936306,-7.5265112,11.214546,1.2653505
001078,20224,0,.62167519,.62727273,.21053651,1.4189365,13.608329,.83790058,-6.8388925,11.195485,-1.3561287
001300,20131,0,.66092175,1.2628571,.2684755,2.3080783,11.072085,.35361862,-14.575588,10.641919,5.0095582
001300,20132,1,.75666916,1.7871429,.23934723,2.4425838,10.858851,.46889955,-3.9137528,10.640652,3.4809403
001300,20133,1,.78061831,2.1557143,.23390044,2.3478632,10.788313,.48143053,-13.805289,10.649369,4.8394189
001300,20134,1,1.056628,2.2728572,.24165151,2.1325948,12.383462,.90077919,-12.598409,10.70113,7.7999277
001300,20141,0,.81939214,2.3212502,.25534189,2.2383626,14.134479,.4225817,-11.816199,10.724038,8.2119255
001300,20142,1,.68526679,2.2449999,.25897881,2.400769,14.575005,.50025123,-1.0864258,10.731537,9.0885448
001300,20143,1,.62695581,2.1862502,.27006805,2.5045068,14.125676,.55584174,-11.738131,10.74927,9.9900494
001300,20144,1,.81496483,2.04125,.27497849,2.0701156,13.919145,.89647257,-11.493674,10.740324,3.9193861
001300,20151,0,.82394481,1.8075,.23487888,2.4553916,15.310994,.36302832,-11.365056,10.72439,.035208944
001300,20152,0,.74545938,1.6962501,.22692201,2.6324492,14.496109,.53574973,-.15424341,10.72232,-.92172623
001300,20153,0,.7904582,1.96875,.24304812,2.7234337,12.82858,.5968284,-11.147676,10.745314,-.39566541
001300,20154,0,1.0121294,1.6850001,.25361946,2.5608578,14.076139,.83217156,-8.9722347,10.749892,.95684201
001300,20161,1,.87680167,1.6125,.24040346,2.4657314,11.061319,.39338145,-7.3661523,10.806004,8.161375
001300,20162,0,.91089475,1.27625,.22409283,2.6188822,8.8811674,.55792713,5.3190217,10.827052,10.473197
001300,20163,1,1.0028776,1.1385715,.2234465,2.4227741,9.857173,.53535491,-5.330348,10.843123,9.7810316
001300,20164,1,.90513211,1.1071429,.22624516,1.9306895,12.007992,.64605272,-3.1033845,10.888483,13.859097
001300,20171,1,.71035063,1.506,.22773765,2.4489343,14.484911,.31027225,-2.8050156,10.89944,9.3435535
001300,20172,0,.60720795,1.4399999,.22244868,2.5411198,17.515837,.42534551,6.9808497,10.911062,8.401042
001300,20173,0,.60559672,.99777776,.20891748,2.4179063,17.642094,.38082922,-1.3035327,10.927161,8.4037104
001300,20174,1,.62695605,.91777778,.20382987,-4.4373589,17.915022,.73633033,-1.340577,10.946728,5.8244953
001300,20181,0,.32257938,.83999997,.17635894,2.4214053,18.214424,.23574182,-.93771815,10.991831,9.2391243
001300,20182,0,.32923636,.92500001,.16995145,2.0788214,16.866837,.32650784,3.1437426,11.017776,10.671413
001300,20183,0,.51685828,.80272722,.1710868,3.9074507,16.455061,.30571336,-2.4448216,10.999763,7.2603025
001300,20184,0,.25288084,.70833331,.1487579,2.7790787,18.817318,.49413019,-2.1469712,11.033711,8.698349
001300,20191,1,.86952466,.49375004,.18481323,2.4509718,18.884254,.24405864,-3.0715704,10.964277,-2.7553809
001300,20192,0,.68756878,.24249998,.16282146,2.631489,18.244535,.29200822,5.9748888,10.977807,-3.9969172
001300,20193,1,.80053145,-.053750053,.14036278,2.8121212,17.217316,.33246753,-3.534019,10.963879,-3.588515
001300,20194,0,.46784967,-.12083331,.14594127,2.5988286,20.571011,.55736721,-1.3143927,11.003832,-2.9879878
001300,20201,1,.35039887,.29833332,.15000117,2.69432,17.750813,.23688202,-4.6384425,10.979837,1.5560373
001300,20202,1,1.485041,.54909092,.18584366,1.8825537,15.309464,.39531887,4.5574098,10.958182,-1.9624363
001300,20203,0,.72638869,.55571425,.17666499,1.191749,23.783094,.3914848,.93144476,11.060431,9.6553011
001300,20204,0,.5088042,.43733335,.15635319,2.1415401,23.649916,.4585638,-.060752034,11.058149,5.4317636
001300,20211,0,.42681396,.67533326,.11834616,2.2094572,23.565479,.34217942,-1.660499,11.075753,9.5915756
001300,20212,0,.43578628,1.0157143,.11955165,2.2498074,19.917873,.29105899,3.6722898,11.059755,10.157257
001300,20213,0,.39295247,.98799998,.11870124,1.9657519,19.26343,.32527953,-2.2476764,11.065779,.53469777
